,area_id,area_name,crm_cd,crm_cd_1,crm_cd_2,crm_cd_3,crm_cd_4,crm_cd_desc,cross_street,date_occ,date_rptd,dr_no,location,location_1,mocodes,premis_cd,premis_desc,rpt_dist_no,status,status_desc,time_occ,vict_age,vict_descent,vict_sex,weapon_desc,weapon_used_cd,Month,Year,Latitude,Longitude,Zip Code
16042,10,West Valley,122,122,812,,,"RAPE, ATTEMPTED",,2012-06-22,2018-05-19T00:00:00.000,181010268,19000    VANOWEN                      ST,"{'type': 'Point', 'coordinates': [-118.547, 34.1939]}",0522 1259 0512 0515 0537 1817,501,SINGLE FAMILY DWELLING,1023,AA,Adult Arrest,0001,19,O,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2012,34.1939,-118.547,91335
17340,01,Central,122,122,998,,,"RAPE, ATTEMPTED",,2017-11-27,2017-11-27T00:00:00.000,170130406,400 S  MAIN                         ST,"{'type': 'Point', 'coordinates': [-118.2484, 34.0478]}",1402 1218 0500 2034,503,HOTEL,0144,AO,Adult Other,0001,34,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0478,-118.2484,90014
17774,02,Rampart,122,122,,,,"RAPE, ATTEMPTED",BEAUDRY,2017-11-05,2017-11-05T00:00:00.000,170219981,1ST                          ST,"{'type': 'Point', 'coordinates': [-118.2542, 34.0591]}",1300 1206 0522 0334 0537 1268,102,SIDEWALK,0239,IC,Invest Cont,0330,24,W,F,OTHER CUTTING INSTRUMENT,218,11,2017,34.0591,-118.2542,90071
18392,02,Rampart,122,122,,,,"RAPE, ATTEMPTED",,2017-10-10,2017-12-07T00:00:00.000,170221744,1600 W  OLYMPIC                      BL,"{'type': 'Point', 'coordinates': [-118.2742, 34.0492]}",0522 0551 0520 0529 1817,203,OTHER BUSINESS,0275,IC,Invest Cont,1200,59,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,10,2017,34.0492,-118.2742,90017
22187,05,Harbor,122,122,,,,"RAPE, ATTEMPTED",,2017-11-16,2017-11-16T00:00:00.000,170518754,500 W  6TH                          ST,"{'type': 'Point', 'coordinates': [-118.2879, 33.7388]}",0400 2000 0416 1814,501,SINGLE FAMILY DWELLING,0557,AO,Adult Other,0925,36,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,33.7388,-118.2879,90732
22215,05,Harbor,122,122,,,,"RAPE, ATTEMPTED",,2017-01-27,2017-06-25T00:00:00.000,170518680,800 W  F                            ST,"{'type': 'Point', 'coordinates': [-118.2713, 33.7766]}",0913 0444 0537 0510 2033 1817,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0525,IC,Invest Cont,1300,36,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,1,2017,33.7766,-118.2713,90744
23000,06,Hollywood,122,122,,,,"RAPE, ATTEMPTED",,2017-11-22,2017-11-23T00:00:00.000,170624105,7000    LANEWOOD                     AV,"{'type': 'Point', 'coordinates': [-118.3414, 34.0992]}",0400 0528 0529,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0645,AA,Adult Arrest,0715,68,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0992,-118.3414,90038
23283,06,Hollywood,122,122,,,,"RAPE, ATTEMPTED",,2017-11-22,2017-11-23T00:00:00.000,170624104,7000    LANEWOOD                     AV,"{'type': 'Point', 'coordinates': [-118.3414, 34.0992]}",0400 0528 0529,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0645,AA,Adult Arrest,0715,55,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0992,-118.3414,90038
29306,12,77th Street,122,122,,,,"RAPE, ATTEMPTED",,2017-12-03,2017-12-03T00:00:00.000,171228406,5200 S  FIGUEROA                     ST,"{'type': 'Point', 'coordinates': [-118.2827, 33.9957]}",0112 0408 0448,101,STREET,1219,IC,Invest Cont,0230,28,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,33.9957,-118.2827,90037
34207,16,Foothill,122,122,,,,"RAPE, ATTEMPTED",,2017-11-28,2017-11-28T00:00:00.000,171617270,7800    LANKERSHIM                   BL,"{'type': 'Point', 'coordinates': [-118.3919, 34.2166]}",0504 0542 0913 0449 0445 0334,503,HOTEL,1684,AO,Adult Other,0500,41,O,F,KITCHEN KNIFE,205,11,2017,34.2166,-118.3919,91605
38010,19,Mission,122,122,,,,"RAPE, ATTEMPTED",,2017-12-03,2017-12-03T00:00:00.000,171922661,11400    AMBOY                        AV,"{'type': 'Point', 'coordinates': [-118.4477, 34.2767]}",1817 0448 0408 0443 0500 2000 0344 1814 0416 1259,501,SINGLE FAMILY DWELLING,1936,IC,Invest Cont,2130,14,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.2767,-118.4477,91345
44822,19,Mission,122,122,,,,"RAPE, ATTEMPTED",,2016-12-03,2016-12-04T00:00:00.000,161922832,11600    RINCON                       AV,"{'type': 'Point', 'coordinates': [-118.455, 34.2814]}",1817 0522 0523 0400 1813,501,SINGLE FAMILY DWELLING,1924,AO,Adult Other,0300,30,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2016,34.2814,-118.455,91345
46508,06,Hollywood,122,122,812,,,"RAPE, ATTEMPTED",,2017-11-04,2017-12-02T00:00:00.000,170624629,5000    LEMON GROVE                  AV,"{'type': 'Point', 'coordinates': [-118.3051, 34.0863]}",0400 0500 0522,501,SINGLE FAMILY DWELLING,0678,IC,Invest Cont,1530,13,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0863,-118.3051,90029
47093,07,Wilshire,122,122,,,,"RAPE, ATTEMPTED",,2017-12-17,2017-12-17T00:00:00.000,170720032,500 N  GENESEE                      AV,"{'type': 'Point', 'coordinates': [-118.3584, 34.0802]}",1501,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0702,IC,Invest Cont,0430,29,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0802,-118.3584,90048
48297,12,77th Street,122,122,,,,"RAPE, ATTEMPTED",VAN NESS,2017-12-18,2017-12-18T00:00:00.000,171229332,90TH                         ST,"{'type': 'Point', 'coordinates': [-118.309, 33.9564]}",0400 1215 0520,108,PARKING LOT,1273,IC,Invest Cont,0315,47,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,33.9564,-118.309,90047
48326,09,Van Nuys,122,122,,,,"RAPE, ATTEMPTED",,2017-11-06,2017-11-06T00:00:00.000,170919931,6300    VENTURA CANYON               AV,"{'type': 'Point', 'coordinates': [-118.429, 34.185]}",0409 1241 1409 1415 2000,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0938,AO,Adult Other,0800,61,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.185,-118.429,91401
52719,18,Southeast,122,122,,,,"RAPE, ATTEMPTED",,2017-12-19,2017-12-19T00:00:00.000,171824529,9300    AVALON                       BL,"{'type': 'Point', 'coordinates': [-118.2651, 33.952]}",2000 1813 0409 0408,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1824,AO,Adult Other,1000,30,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,33.952,-118.2651,90002
54548,01,Central,122,122,998,,,"RAPE, ATTEMPTED",,2017-12-27,2017-12-27T00:00:00.000,170132730,1100 S  HOPE                         ST,"{'type': 'Point', 'coordinates': [-118.2631, 34.0423]}",1415 2002 1206 0510 0532 0537 0550 1409,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0182,AO,Adult Other,0700,31,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0423,-118.2631,90015
56401,14,Pacific,122,122,998,,,"RAPE, ATTEMPTED",WINDWARD,2017-12-24,2017-12-24T00:00:00.000,171426921,MARKET,"{'type': 'Point', 'coordinates': [-118.4703, 33.988]}",0500 1402,709,PUBLIC RESTROOM(INDOORS-INSIDE),1431,IC,Invest Cont,0400,24,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,33.988,-118.4703,90291
59772,21,Topanga,122,122,,,,"RAPE, ATTEMPTED",,2017-07-19,2017-07-19T00:00:00.000,172113921,20500    VENTURA                      BL,"{'type': 'Point', 'coordinates': [-118.5787, 34.1683]}",0448 0305 0416 1822,102,SIDEWALK,2189,IC,Invest Cont,0100,34,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,7,2017,34.1683,-118.5787,91364
81702,06,Hollywood,122,122,,,,"RAPE, ATTEMPTED",,2017-12-20,2017-12-20T00:00:00.000,170625681,1600 N  LAS PALMAS                   AV,"{'type': 'Point', 'coordinates': [-118.3361, 34.0997]}",0416 0408 0532,108,PARKING LOT,0646,IC,Invest Cont,0140,30,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0997,-118.3361,90028
83166,08,West LA,122,122,,,,"RAPE, ATTEMPTED",,2017-12-16,2017-12-16T00:00:00.000,180804897,1500 S  SALTAIR                      AV,"{'type': 'Point', 'coordinates': [-118.4622, 34.041]}",0400 0319,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0851,IC,Invest Cont,2015,55,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.041,-118.4622,90025
87247,08,West LA,122,122,998,,,"RAPE, ATTEMPTED",,2017-12-22,2017-12-22T00:00:00.000,170820111,10400    SANTA MONICA                 BL,"{'type': 'Point', 'coordinates': [-118.4236, 34.0581]}",1415 0515 1822 1402,108,PARKING LOT,0829,IC,Invest Cont,0300,26,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0581,-118.4236,90067
87318,16,Foothill,122,122,,,,"RAPE, ATTEMPTED",,2017-07-11,2017-09-19T00:00:00.000,171614563,9000    TELFAIR                      AV,"{'type': 'Point', 'coordinates': [-118.3928, 34.2327]}",0444 0500,501,SINGLE FAMILY DWELLING,1672,AO,Adult Other,1200,42,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,7,2017,34.2327,-118.3928,91605
88114,01,Central,122,122,,,,"RAPE, ATTEMPTED",,2017-06-01,2017-08-08T00:00:00.000,170121780,900 E  2ND                          ST,"{'type': 'Point', 'coordinates': [-118.2351, 34.0472]}",0515 0500 0527,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0139,AO,Adult Other,1250,18,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2017,34.0472,-118.2351,90013
105064,09,Van Nuys,122,122,,,,"RAPE, ATTEMPTED",,2016-11-12,2018-02-15T00:00:00.000,180906441,13700    VICTORY                      BL,"{'type': 'Point', 'coordinates': [-118.4312, 34.1867]}",1601 1813 2000,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0937,AO,Adult Other,1700,71,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2016,34.1867,-118.4312,91401
107259,21,Topanga,122,122,812,,,"RAPE, ATTEMPTED",SHERMAN                      WY,2015-01-01,2018-02-16T00:00:00.000,182106278,TOPANGA CANYON               RD,"{'type': 'Point', 'coordinates': [-118.6059, 34.201]}",0556 0522,501,SINGLE FAMILY DWELLING,2136,AA,Adult Arrest,1330,15,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,1,2015,34.201,-118.6059,91303
115260,13,Newton,122,122,,,,"RAPE, ATTEMPTED",,2016-10-25,2017-04-04T00:00:00.000,171309769,1800 E  8TH                          ST,"{'type': 'Point', 'coordinates': [-118.2389, 34.03]}",,254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),1309,AO,Adult Other,2200,,X,F,UNKNOWN WEAPON/OTHER WEAPON,500,10,2016,34.03,-118.2389,90021
115261,13,Newton,122,122,,,,"RAPE, ATTEMPTED",,2016-10-13,2017-04-04T00:00:00.000,171309771,1800 E  8TH                          ST,"{'type': 'Point', 'coordinates': [-118.2389, 34.03]}",,254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),1309,AO,Adult Other,2200,,X,F,UNKNOWN WEAPON/OTHER WEAPON,500,10,2016,34.03,-118.2389,90021
117749,07,Wilshire,122,122,,,,"RAPE, ATTEMPTED",,2017-03-19,2017-03-24T00:00:00.000,170707618,400 S  CURSON                       AV,"{'type': 'Point', 'coordinates': [-118.3552, 34.0691]}",0522 0537,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0734,AO,Adult Other,2215,27,O,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,3,2017,34.0691,-118.3552,90036
138402,11,Northeast,122,122,812,,,"RAPE, ATTEMPTED",,2013-03-14,2018-03-14T00:00:00.000,181107280,4600    VERMONT                      PL,"{'type': 'Point', 'coordinates': [-118.2902, 34.0924]}",0360 0532 0913,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1162,IC,Invest Cont,1200,,H,F,UNKNOWN WEAPON/OTHER WEAPON,500,3,2013,34.0924,-118.2902,90029
149528,05,Harbor,122,122,812,,,"RAPE, ATTEMPTED",,2016-06-01,2018-03-21T00:00:00.000,180507933,1100 W  PAPEETE                      ST,"{'type': 'Point', 'coordinates': [-118.2763, 33.787]}",1258 0552 0522 0537 0913,501,SINGLE FAMILY DWELLING,0514,AO,Adult Other,0600,12,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2016,33.787,-118.2763,90744
158298,07,Wilshire,122,122,210,810,910,"RAPE, ATTEMPTED",,2017-09-06,2017-09-07T00:00:00.000,170715298,4900 W  PICO                         BL,"{'type': 'Point', 'coordinates': [-118.3434, 34.048]}",0405 0408 0421 0418 1402 0344,718,MASSAGE PARLOR,0765,AA,Adult Arrest,1845,37,A,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,9,2017,34.048,-118.3434,90019
163054,08,West LA,122,122,812,,,"RAPE, ATTEMPTED",,2016-09-01,2017-04-03T00:00:00.000,170808271,1400 S  HOLT                         AV,"{'type': 'Point', 'coordinates': [-118.3784, 34.0538]}",0913 1251 1258 0500 0400 0306,501,SINGLE FAMILY DWELLING,0859,IC,Invest Cont,1600,,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,9,2016,34.0538,-118.3784,90035
167885,20,Olympic,122,122,,,,"RAPE, ATTEMPTED",MAGNOLIA,2016-09-05,2016-09-05T00:00:00.000,162016259,15TH                         ST,"{'type': 'Point', 'coordinates': [-118.2864, 34.0453]}",0305 0334 0449 1310 0401 0409 0319 0522 0432 0906,101,STREET,2079,IC,Invest Cont,0200,24,H,F,KNIFE WITH BLADE 6INCHES OR LESS,200,9,2016,34.0453,-118.2864,90006
169730,01,Central,122,122,998,,,"RAPE, ATTEMPTED",,2017-06-04,2017-06-05T00:00:00.000,170116047,500 S  FLOWER                       ST,"{'type': 'Point', 'coordinates': [-118.2561, 34.0516]}",0500 0522 1206 0536 0537 1415,503,HOTEL,0152,AA,Adult Arrest,0300,28,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2017,34.0516,-118.2561,90071
178084,10,West Valley,122,122,,,,"RAPE, ATTEMPTED",,2011-09-26,2011-09-27T00:00:00.000,111016306,19100    ROSCOE                       BL,"{'type': 'Point', 'coordinates': [-118.5492, 34.2206]}",1026,501,SINGLE FAMILY DWELLING,1001,AA,Adult Arrest,1400,20,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,9,2011,34.2206,-118.5492,91335
192647,20,Olympic,122,122,998,,,"RAPE, ATTEMPTED",,2011-12-24,2011-12-24T00:00:00.000,112023362,1000 S  NORTON                       AV,"{'type': 'Point', 'coordinates': [-118.3207, 34.0539]}",0421 0432 0444 0522 1402 0510 0503 0501 0429 1415,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",2041,AA,Adult Arrest,1730,24,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2011,34.0539,-118.3207,90005
194186,19,Mission,122,122,910,998,,"RAPE, ATTEMPTED",,2012-12-09,2012-12-09T00:00:00.000,121901656,12900    DRONFIELD                    AV,"{'type': 'Point', 'coordinates': [-118.4333, 34.3048]}",0416 0419 0429 1822 1402 0448 0362 1017 0216,138,STAIRWELL*,1918,IC,Invest Cont,0305,36,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2012,34.3048,-118.4333,91340
78,20,Olympic,121,121,,,,"RAPE, FORCIBLE",,2016-05-01,2018-05-30T00:00:00.000,182013444,500 N  NORMANDIE                    AV,"{'type': 'Point', 'coordinates': [-118.3025, 34.0799]}",0500 0421,122,"VEHICLE, PASSENGER/TRUCK",2005,IC,Invest Cont,0001,22,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,5,2016,34.0799,-118.3025,90004
660,15,N Hollywood,121,121,,,,"RAPE, FORCIBLE",,2013-02-08,2017-10-29T00:00:00.000,171521247,4300    VANTAGE                      AV,"{'type': 'Point', 'coordinates': [-118.3976, 34.1486]}",1823 0400 0527,501,SINGLE FAMILY DWELLING,1581,AO,Adult Other,2200,39,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,2,2013,34.1486,-118.3976,91604
808,18,Southeast,121,121,812,,,"RAPE, FORCIBLE",,2016-09-01,2017-11-01T00:00:00.000,171821792,8900    CROCKER                      ST,"{'type': 'Point', 'coordinates': [-118.2682, 33.9556]}",1258 0522 0527 0537 0510 0536 0913,501,SINGLE FAMILY DWELLING,1805,AO,Adult Other,1200,11,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,9,2016,33.9556,-118.2682,90003
845,18,Southeast,121,121,,,,"RAPE, FORCIBLE",,2017-11-01,2017-11-02T00:00:00.000,171821842,8700 S  FIGUEROA                     ST,"{'type': 'Point', 'coordinates': [-118.2827, 33.9587]}",0500 0373 2005 0342,517,MISSIONS/SHELTERS,1802,IC,Invest Cont,0300,29,W,F,,,11,2017,33.9587,-118.2827,90003
924,20,Olympic,121,121,812,910,998,"RAPE, FORCIBLE",,2017-09-01,2017-11-02T00:00:00.000,172019835,2700 W  8TH                          ST,"{'type': 'Point', 'coordinates': [-118.2865, 34.0598]}",0940 0432 0448 0532 0537 0536 0527 1251 1259 1402,505,MOTEL,2039,IC,Invest Cont,2200,16,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,9,2017,34.0598,-118.2865,90057
991,21,Topanga,121,121,,,,"RAPE, FORCIBLE",,2017-10-25,2017-11-02T00:00:00.000,172119239,6000    FALLBROOK                    AV,"{'type': 'Point', 'coordinates': [-118.6274, 34.1883]}",0519 0500 0940,501,SINGLE FAMILY DWELLING,2143,AO,Adult Other,2130,54,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,10,2017,34.1883,-118.6274,91367
1395,03,Southwest,121,121,,,,"RAPE, FORCIBLE",,2014-11-01,2016-09-06T00:00:00.000,160320591,900 W  37TH                         ST,"{'type': 'Point', 'coordinates': [-118.2882, 34.0197]}",1206 0500 1822 1251,501,SINGLE FAMILY DWELLING,0358,AO,Adult Other,0730,18,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2014,34.0197,-118.2882,90007
1440,05,Harbor,121,121,,,,"RAPE, FORCIBLE",,2016-09-05,2016-10-05T00:00:00.000,160517698,500 N  WESTERN                      AV,"{'type': 'Point', 'coordinates': [-118.3092, 33.7501]}",0400 0527 1218 1259 1822,109,PARK/PLAYGROUND,0551,AO,Adult Other,0300,15,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,9,2016,33.7501,-118.3092,90732
1444,06,Hollywood,121,121,998,,,"RAPE, FORCIBLE",,2015-10-24,2016-01-08T00:00:00.000,160604358,9200    SIERRA MAR                   DR,"{'type': 'Point', 'coordinates': [-118.392, 34.0958]}",0400 1259 1402,501,SINGLE FAMILY DWELLING,0631,AA,Adult Arrest,1200,15,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,10,2015,34.0958,-118.392,90069
1446,06,Hollywood,121,121,998,,,"RAPE, FORCIBLE",,2016-06-20,2016-06-20T00:00:00.000,160614626,1800 N  CHEROKEE                     AV,"{'type': 'Point', 'coordinates': [-118.3348, 34.1032]}",1402 2000,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0636,AO,Adult Other,0430,20,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2016,34.1032,-118.3348,90028
1459,07,Wilshire,121,121,,,,"RAPE, FORCIBLE",,2016-09-11,2016-09-11T00:00:00.000,160701026,8500    BEVERLY                      BL,"{'type': 'Point', 'coordinates': [-118.3695, 34.0782]}",0537 0500,503,HOTEL,0711,AO,Adult Other,0035,26,O,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,9,2016,34.0782,-118.3695,90048
1531,08,West LA,121,121,,,,"RAPE, FORCIBLE",LANDFAIR,2013-12-24,2016-09-22T00:00:00.000,160817806,GAYLEY,"{'type': 'Point', 'coordinates': [-118.4532, 34.0705]}",2000 1814 1822,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0816,AO,Adult Other,1830,25,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2013,34.0705,-118.4532,90024
1541,10,West Valley,121,121,812,,,"RAPE, FORCIBLE",,2011-10-04,2016-10-11T00:00:00.000,161016854,7600    BALBOA                       BL,"{'type': 'Point', 'coordinates': [-118.5011, 34.2084]}",0510 0527 0512 1801 0537 1259,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1008,AO,Adult Other,1200,12,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,10,2011,34.2084,-118.5011,91406
1582,13,Newton,121,121,,,,"RAPE, FORCIBLE",SAN PEDRO                    AV,2012-06-21,2016-04-26T00:00:00.000,161315118,52ND                         ST,"{'type': 'Point', 'coordinates': [-118.2701, 33.9953]}",0500 0527,501,SINGLE FAMILY DWELLING,1362,AO,Adult Other,1200,24,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2012,33.9953,-118.2701,90037
1586,13,Newton,121,121,998,,,"RAPE, FORCIBLE",,2016-10-02,2016-10-03T00:00:00.000,161320441,1300 E  22ND                         ST,"{'type': 'Point', 'coordinates': [-118.2531, 34.0216]}",0527 0537 0522 1402,501,SINGLE FAMILY DWELLING,1324,AA,Adult Arrest,0800,38,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,10,2016,34.0216,-118.2531,90011
1613,17,Devonshire,121,121,998,,,"RAPE, FORCIBLE",,2016-12-18,2016-12-18T00:00:00.000,161701028,10700    SPRINGFIELD                  AV,"{'type': 'Point', 'coordinates': [-118.5463, 34.2651]}",1402 1415 1814 0500 0515 0527,501,SINGLE FAMILY DWELLING,1727,AO,Adult Other,1530,24,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2016,34.2651,-118.5463,91324
1619,17,Devonshire,121,121,,,,"RAPE, FORCIBLE",,2016-06-04,2016-06-04T00:00:00.000,161711374,8600    WOODLEY                      AV,"{'type': 'Point', 'coordinates': [-118.4851, 34.2266]}",0527 0400 2002 0537 0510,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1799,AO,Adult Other,0130,30,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2016,34.2266,-118.4851,91343
1622,17,Devonshire,121,121,,,,"RAPE, FORCIBLE",,2016-10-01,2016-10-06T00:00:00.000,161717573,8800    JUMILLA                      AV,"{'type': 'Point', 'coordinates': [-118.5634, 34.2303]}",,501,SINGLE FAMILY DWELLING,1782,AO,Adult Other,2200,39,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,10,2016,34.2303,-118.5634,91324
1629,18,Southeast,121,121,812,,,"RAPE, FORCIBLE",,2015-08-01,2016-10-04T00:00:00.000,161818882,11300    ZAMORA                       AV,"{'type': 'Point', 'coordinates': [-118.251, 33.932]}",1501,501,SINGLE FAMILY DWELLING,1846,AO,Adult Other,1200,,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,8,2015,33.932,-118.251,90059
1630,18,Southeast,121,121,812,,,"RAPE, FORCIBLE",,2015-08-01,2016-10-04T00:00:00.000,161818883,11300    ZAMORA                       AV,"{'type': 'Point', 'coordinates': [-118.251, 33.932]}",1501,501,SINGLE FAMILY DWELLING,1846,AO,Adult Other,1200,,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,8,2015,33.932,-118.251,90059
1631,18,Southeast,121,121,812,,,"RAPE, FORCIBLE",,2015-08-01,2016-10-04T00:00:00.000,161818884,11300    ZAMORA                       AV,"{'type': 'Point', 'coordinates': [-118.251, 33.932]}",1501,501,SINGLE FAMILY DWELLING,1846,AO,Adult Other,1200,,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,8,2015,33.932,-118.251,90059
1632,18,Southeast,121,121,812,,,"RAPE, FORCIBLE",,2015-08-01,2016-10-04T00:00:00.000,161818885,11300    ZAMORA                       AV,"{'type': 'Point', 'coordinates': [-118.251, 33.932]}",1501,501,SINGLE FAMILY DWELLING,1846,AO,Adult Other,1200,,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,8,2015,33.932,-118.251,90059
1633,18,Southeast,121,121,812,,,"RAPE, FORCIBLE",,2015-08-01,2016-10-04T00:00:00.000,161818886,11300    ZAMORA                       AV,"{'type': 'Point', 'coordinates': [-118.251, 33.932]}",1501,501,SINGLE FAMILY DWELLING,1846,AO,Adult Other,1200,,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,8,2015,33.932,-118.251,90059
1824,01,Central,121,121,998,,,"RAPE, FORCIBLE",UNKNOWN,2017-06-25,2017-06-26T00:00:00.000,170118399,UNKNOWN,"{'type': 'Point', 'coordinates': [-118.2333, 34.0454]}",0527 1402,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0139,AO,Adult Other,0400,22,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2017,34.0454,-118.2333,90013
1826,01,Central,121,121,998,,,"RAPE, FORCIBLE",,2017-06-27,2017-07-01T00:00:00.000,170118558,300 S  GRAND                        AV,"{'type': 'Point', 'coordinates': [-118.2513, 34.053]}",1804 0527 0537,702,OFFICE BUILDING/OFFICE,0142,AO,Adult Other,1750,44,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,6,2017,34.053,-118.2513,90071
